date,sport,home_team,away_team,home_pts,away_pts,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_exp,away_exp
01/27/2026,4v4 Flag Football,Pike C,SigEp A,32,42,1000,1000,933.1,1066.9,0.5,0.5
01/27/2026,5v5 Basketball,BCM,Qiths,73,47,1000,1000,1077.1,922.9,0.5,0.5
01/27/2026,5v5 Basketball,Bounce Academy,LeSTSL,49,31,1000,1000,1078.1,921.9,0.5,0.5
01/27/2026,4v4 Flag Football,SAE A,Theta Chi,35,34,1000,1000,1051.8,948.2,0.5,0.5
01/27/2026,4v4 Flag Football,Kappa Sigma B,Delta Upsilon,20,13,1000,1000,1076.5,923.5,0.5,0.5
01/27/2026,5v5 Basketball,Sigma Chi X ADPi,Rakija Aguardiente,50,48,1000,1000,1052.6,947.4,0.5,0.5
01/27/2026,5v5 Basketball,rz,:),21,39,1000,1000,912.5,1087.5,0.5,0.5
01/27/2026,4v4 Flag Football,TKE C,Sigma Chi A,23,45,1000,1000,909.6,1090.4,0.5,0.5
01/27/2026,4v4 Flag Football,Sigma Nu,Theta XI B,21,43,1000,1000,907.0,1093.0,0.5,0.5
01/27/2026,5v5 Basketball,Old Foresters,Ballright,44,20,1000,1000,1096.9,903.1,0.5,0.5
01/27/2026,5v5 Basketball,kls,Pike Corec,32,71,1000,1000,902.7,1097.3,0.5,0.5
01/27/2026,4v4 Flag Football,GTSC,awesome sauce,20,32,1000,1000,921.2,1078.8,0.5,0.5
01/27/2026,4v4 Flag Football,AGDU,GTNROTC,7,12,1000,1000,917.1,1082.9,0.5,0.5
01/27/2026,4v4 Flag Football,Ice Trae,Dippin Dots,25,33,1000,1000,932.8,1067.2,0.5,0.5
01/27/2026,5v5 Basketball,Phi Mu,AXiD,29,21,1000,1000,1070.0,930.0,0.5,0.5
01/27/2026,5v5 Basketball,Alpha Phi,ADPi,10,44,1000,1000,875.0,1125.0,0.5,0.5
01/27/2026,4v4 Flag Football,Flustered Falcons,Beef Bulgogi,8,34,1000,1000,875.0,1125.0,0.5,0.5
01/27/2026,4v4 Flag Football,Westhaven,Catholic Center,0,48,1000,1000,875.0,1125.0,0.5,0.5
01/27/2026,5v5 Basketball,Pooslingerz,SAE Kappa,13,40,1000,1000,886.3,1113.7,0.5,0.5
01/27/2026,5v5 Basketball,Alpha Gamma Delta,Kappa Alpha Theta,44,18,1000,1000,1102.4,897.6,0.5,0.5
01/27/2026,4v4 Flag Football,Punjabi Sungiants,fours,14,34,1000,1000,897.9,1102.1,0.5,0.5
01/27/2026,4v4 Flag Football,Legion of Boom,E1,13,18,1000,1000,929.8,1070.2,0.5,0.5
01/27/2026,5v5 Basketball,The Mighty Ducks,Nuggets,19,46,1000,1000,898.1,1101.9,0.5,0.5
01/27/2026,5v5 Basketball,Javale McBuckets,Kinetic + Nav,57,25,1000,1000,1098.8,901.2,0.5,0.5
01/27/2026,4v4 Flag Football,esmadine,grimreapers,18,13,1000,1000,1070.2,929.8,0.5,0.5
01/27/2026,4v4 Flag Football,goyal squad,Separation,35,27,1000,1000,1066.1,933.9,0.5,0.5
01/28/2026,5v5 Basketball,Lebum,Poka,61,17,1000,1000,1120.5,879.5,0.5,0.5
01/28/2026,4v4 Flag Football,Connector C’s,FYSA Flyers,31,0,1000,1000,1125.0,875.0,0.5,0.5
01/28/2026,4v4 Flag Football,1738,Team 1,12,43,1000,1000,879.5,1120.5,0.5,0.5
01/28/2026,5v5 Basketball,Big G n 'Em,messiah's disciples,38,44,1000,1000,940.9,1059.1,0.5,0.5
01/28/2026,5v5 Basketball,Team belt,Om Patel’s honourable team,73,32,1000,1000,1098.8,901.2,0.5,0.5
01/28/2026,4v4 Flag Football,Pike A,GBC,27,26,1000,1000,1052.4,947.6,0.5,0.5
01/28/2026,4v4 Flag Football,AEPi,Pike D,14,13,1000,1000,1054.6,945.4,0.5,0.5
01/28/2026,5v5 Basketball,Sportsball,Amaputi,24,46,1000,1000,910.7,1089.3,0.5,0.5
01/28/2026,5v5 Basketball,Dream Team,Fried chicken,52,52,1000,1000,1000.0,1000.0,0.5,0.5
01/28/2026,4v4 Flag Football,Phi delt A,TKE F,26,6,1000,1000,1125.0,875.0,0.5,0.5
01/28/2026,4v4 Flag Football,ATO,Pi kapp,38,0,1000,1000,1125.0,875.0,0.5,0.5
01/28/2026,5v5 Basketball,GTSC,sportsball,21,32,1000,1000,924.1,1075.9,0.5,0.5
01/28/2026,5v5 Basketball,Delhi Dragons,Dawgs,33,76,1000,1000,900.7,1099.3,0.5,0.5
01/28/2026,4v4 Flag Football,Western,Bandits,12,47,1000,1000,875.8,1124.2,0.5,0.5
01/28/2026,4v4 Flag Football,Fore,TFSJHFFT️️️,39,6,1000,1000,1125.0,875.0,0.5,0.5
01/28/2026,5v5 Basketball,ADPi X SAE,Cru hoops,49,44,1000,1000,1056.7,943.3,0.5,0.5
01/28/2026,4v4 Flag Football,Bullet Bogs,The Induraj Files,20,13,1000,1000,1076.5,923.5,0.5,0.5
01/28/2026,4v4 Flag Football,Sack Attack,Kush the Grand Gargantuan,42,20,1000,1000,1094.4,905.6,0.5,0.5
01/29/2026,4v4 Flag Football,Theta Xi,ΛΧΑ A,42,14,1000,1000,1112.5,887.5,0.5,0.5
01/29/2026,5v5 Basketball,D1 Poosapati,Catholic Center,39,62,1000,1000,921.5,1078.5,0.5,0.5
